link,count
https://vk.com/public200910703,21
https://vk.com/public151333444,6
https://vk.com/public204591138,15
https://vk.com/public117293742,17
https://vk.com/public139218896,12
https://vk.com/public26546605,27
https://vk.com/public152111879,2
https://vk.com/public171239794,16
https://vk.com/public175109457,25
https://vk.com/public197171829,1
https://vk.com/public68562990,3
https://vk.com/public132768326,15
https://vk.com/public196369374,1
https://vk.com/public106596888,6
https://vk.com/public211437014,26
https://vk.com/public215922152,3
https://vk.com/public166574872,22
https://vk.com/public169860609,6
https://vk.com/public47949197,25
https://vk.com/public15006010,9
https://vk.com/public97446391,32
https://vk.com/public7392748,5
https://vk.com/public73629052,25
https://vk.com/public43424818,12
https://vk.com/public118643747,59
https://vk.com/public10055384,6
https://vk.com/public77786641,5
https://vk.com/public140892259,34
https://vk.com/public71899916,3
https://vk.com/public198071571,66
https://vk.com/public113187414,55
https://vk.com/public26086420,103
https://vk.com/public125688382,15
https://vk.com/public107192368,12
https://vk.com/public36759319,2
https://vk.com/public143867946,14
https://vk.com/public158717291,2
https://vk.com/public756482,17
https://vk.com/public163326990,6
https://vk.com/public88310283,3
https://vk.com/public90428826,2
https://vk.com/public160479963,6
https://vk.com/public66734294,4
https://vk.com/public147782201,34
https://vk.com/public186625285,3
https://vk.com/public150550417,193
https://vk.com/public70374972,33
https://vk.com/public152179598,2
https://vk.com/public211009982,33
https://vk.com/public140031968,1
https://vk.com/public189412930,14
https://vk.com/public157783005,3
https://vk.com/public106347348,3
https://vk.com/public66114271,5
https://vk.com/public41667645,2
https://vk.com/public45612953,2
https://vk.com/public152032281,16
https://vk.com/public154707792,2
https://vk.com/public177037673,7
https://vk.com/public176702827,20
https://vk.com/public58569409,7
https://vk.com/public32041317,44
https://vk.com/public36858907,6
https://vk.com/public116918681,2
https://vk.com/public196553717,13
https://vk.com/public49502890,5
https://vk.com/public186017033,2
https://vk.com/public6115148,1
https://vk.com/public184140863,6
https://vk.com/public112717416,14
https://vk.com/public135665153,82
https://vk.com/public67605063,5
https://vk.com/public183827105,1
https://vk.com/public161926672,1
https://vk.com/public211183989,2
https://vk.com/public60094308,1
https://vk.com/public199825612,4
https://vk.com/public211154316,4
https://vk.com/public192476094,21
https://vk.com/public192130931,5
https://vk.com/public122640389,2
https://vk.com/public18721404,3
https://vk.com/public199351430,15
https://vk.com/public206760027,3
https://vk.com/public72495085,17
https://vk.com/public53384168,40
https://vk.com/public150259724,10
https://vk.com/public97531442,1
https://vk.com/public25557243,51
https://vk.com/public41670861,12
https://vk.com/public219723348,4
https://vk.com/public39743577,23
https://vk.com/public123307644,2
https://vk.com/public119850512,6
https://vk.com/public186368387,1
https://vk.com/public104064558,96
https://vk.com/public167971894,8
https://vk.com/public134304854,124
https://vk.com/public50883936,34
https://vk.com/public162215292,15
https://vk.com/public87389803,6
https://vk.com/public102087446,88
https://vk.com/public191714624,1
https://vk.com/public165341618,1
https://vk.com/public18413947,1
https://vk.com/public13811809,1
https://vk.com/public84054237,20
https://vk.com/public121455515,7
https://vk.com/public79306358,18
https://vk.com/public107470092,1
https://vk.com/public181808107,12
https://vk.com/public147466158,4
https://vk.com/public77127883,48
https://vk.com/public34269876,17
https://vk.com/public109239297,2
https://vk.com/public211181052,1
https://vk.com/public201963236,16
https://vk.com/public124860998,1
https://vk.com/public170923795,1
https://vk.com/public45638129,3
https://vk.com/public212131631,1
https://vk.com/public92597394,72
https://vk.com/public128203623,1
https://vk.com/public139869747,32
https://vk.com/public39243732,4
https://vk.com/public97562156,3
https://vk.com/public53119437,2
https://vk.com/public151023695,1
https://vk.com/public103384468,10
https://vk.com/public121732667,12
https://vk.com/public310205,2
https://vk.com/public99123661,3
https://vk.com/public123681709,1
https://vk.com/public212744153,1
https://vk.com/public130678243,8
https://vk.com/public81605444,2
https://vk.com/public153226803,3
https://vk.com/public171097447,1
https://vk.com/public33990215,1
https://vk.com/public115684515,1
https://vk.com/public162858477,1
https://vk.com/public65293734,10
https://vk.com/public121782405,11
https://vk.com/public4429782,2
https://vk.com/public35632477,2
https://vk.com/public39388462,3
https://vk.com/public44409353,8
https://vk.com/public47459176,1
https://vk.com/public51703961,1
https://vk.com/public60359072,5
https://vk.com/public62820560,8
https://vk.com/public63708206,7
https://vk.com/public63709552,1
https://vk.com/public71895912,1
https://vk.com/public74404187,14
https://vk.com/public89606959,1
https://vk.com/public94257398,1
https://vk.com/public100490890,1
https://vk.com/public118085063,1
https://vk.com/public122438631,1
https://vk.com/public123946730,22
https://vk.com/public127040716,5
https://vk.com/public142758151,5
https://vk.com/public145216347,3
https://vk.com/public174562260,1
https://vk.com/public187830831,1
https://vk.com/public34636277,12
https://vk.com/public72910900,3
https://vk.com/public90552903,1
https://vk.com/public72296316,41
https://vk.com/public188033116,27
https://vk.com/public146310278,42
https://vk.com/public39444069,3
https://vk.com/public28486399,4
https://vk.com/public176467354,59
https://vk.com/public144037872,58
https://vk.com/public112510789,30
https://vk.com/public133040232,81
https://vk.com/public132275903,9
https://vk.com/public148438786,28
https://vk.com/public175061906,53
https://vk.com/public162092399,9
https://vk.com/public135970622,73
https://vk.com/public165986544,44
https://vk.com/public22231730,2
https://vk.com/public64382253,21
https://vk.com/public115481588,21
https://vk.com/public186103254,89
https://vk.com/public97902875,85
https://vk.com/public29792960,2
https://vk.com/public155153648,42
https://vk.com/public194964059,12
https://vk.com/public180843464,15
https://vk.com/public148629670,3
https://vk.com/public89731502,11
https://vk.com/public52908594,8
https://vk.com/public33880573,3
https://vk.com/public56176916,3
https://vk.com/public59689241,12
https://vk.com/public124636304,13
https://vk.com/public190600946,29
https://vk.com/public127282045,62
https://vk.com/public142597865,15
https://vk.com/public96812714,10
https://vk.com/public70905722,3
https://vk.com/public121574455,56
https://vk.com/public210610456,30
https://vk.com/public114437208,23
https://vk.com/public108531402,83
https://vk.com/public155464693,136
https://vk.com/public84762693,7
https://vk.com/public153041894,27
https://vk.com/public42272964,26
https://vk.com/public120254617,173
https://vk.com/public185067269,16
https://vk.com/public83906457,57
https://vk.com/public140105161,17
https://vk.com/public136962432,11
https://vk.com/public201636725,15
https://vk.com/public97373003,1
https://vk.com/public92157416,80
https://vk.com/public179444169,29
https://vk.com/public178623303,129
https://vk.com/public33769500,3
https://vk.com/public191634786,1
https://vk.com/public86101038,3
https://vk.com/public126290980,19
https://vk.com/public158275105,87
https://vk.com/public88350989,25
https://vk.com/public130670107,13
https://vk.com/public61175533,67
https://vk.com/public133116580,34
https://vk.com/public115600579,9
https://vk.com/public118543132,24
https://vk.com/public171957308,9
https://vk.com/public40835481,9
https://vk.com/public182781929,15
https://vk.com/public91895023,56
https://vk.com/public64526004,4
https://vk.com/public151359503,8
https://vk.com/public109125388,92
https://vk.com/public95648824,90
https://vk.com/public163325387,9
https://vk.com/public153110039,6
https://vk.com/public169473268,30
https://vk.com/public53845179,103
https://vk.com/public136893753,8
https://vk.com/public32395960,1
https://vk.com/public124496530,10
https://vk.com/public171938396,26
https://vk.com/public126988526,39
https://vk.com/public146836620,8
https://vk.com/public103421714,8
https://vk.com/public135856652,67
https://vk.com/public115068752,8
https://vk.com/public96047932,1
https://vk.com/public135897440,9
https://vk.com/public136363489,13
https://vk.com/public134182185,29
https://vk.com/public116037585,22
https://vk.com/public176411259,55
https://vk.com/public181952210,10
https://vk.com/public145603395,8
https://vk.com/public103887008,2
https://vk.com/public176864224,54
https://vk.com/public189155523,7
https://vk.com/public103605906,30
https://vk.com/public151779453,7
https://vk.com/public136259311,77
https://vk.com/public133846520,30
https://vk.com/public165659543,12
https://vk.com/public167123504,74
https://vk.com/public92397287,6
https://vk.com/public180258355,4
https://vk.com/public71067613,3
https://vk.com/public193098763,120
https://vk.com/public36807555,1
https://vk.com/public71600914,5
https://vk.com/public75762231,10
https://vk.com/public181495911,69
https://vk.com/public106011704,3
https://vk.com/public137380763,17
https://vk.com/public138250374,53
https://vk.com/public148506755,24
https://vk.com/public27725025,12
https://vk.com/public39500620,19
https://vk.com/public116122860,27
https://vk.com/public37710273,8
https://vk.com/public80747106,4
https://vk.com/public117784118,1
https://vk.com/public180465571,6
https://vk.com/public84873958,5
https://vk.com/public135442687,12
https://vk.com/public97799350,31
https://vk.com/public58139260,1
https://vk.com/public178072579,5
https://vk.com/public23138673,5
https://vk.com/public27319792,1
https://vk.com/public30160971,1
https://vk.com/public39703413,3
https://vk.com/public49826477,9
https://vk.com/public51176599,3
https://vk.com/public51948559,5
https://vk.com/public56910814,7
https://vk.com/public60465354,7
https://vk.com/public66599523,9
https://vk.com/public71168905,1
https://vk.com/public82322100,9
https://vk.com/public90497668,14
https://vk.com/public92320108,10
https://vk.com/public95524330,8
